origin_date,forecast_period,dimension_type,dimension_value,metric,actual,p10,p50,p90,absolute_error,ape,smape,covered_by_interval
2024-04-30,30_days,Campaign,Pmax_Campaign_05,Revenue,20292.7016,20362.6,29612.68,38862.77,9319.9784,45.9277,37.3506,False
2024-04-30,30_days,Campaign,Pmax_Campaign_05,ROAS,2.9786,2.52,3.67,4.82,0.6914,23.2106,20.797,True
2024-04-30,60_days,Campaign,Pmax_Campaign_05,Revenue,40900.9943,43668.64,59225.36,74782.09,18324.3657,44.8018,36.6025,False
2024-04-30,60_days,Campaign,Pmax_Campaign_05,ROAS,3.9787,2.71,3.67,4.64,0.3087,7.759,8.0721,True
2024-04-30,90_days,Campaign,Pmax_Campaign_05,Revenue,59679.2115,67752.42,88838.05,109923.68,29158.8385,48.8593,39.2666,False
2024-04-30,90_days,Campaign,Pmax_Campaign_05,ROAS,3.5119,2.8,3.67,4.54,0.1581,4.5031,4.4039,True
2024-04-30,30_days,Campaign,Search_TM_Campaign_01,Revenue,18788.1175,10676.4,24653.18,38629.96,5865.0625,31.2169,27.0022,True
2024-04-30,30_days,Campaign,Search_TM_Campaign_01,ROAS,2.9554,2.77,6.4,10.03,3.4446,116.5536,73.6391,True
2024-04-30,60_days,Campaign,Search_TM_Campaign_01,Revenue,42370.4571,25946.39,49452.43,72958.48,7081.9729,16.7144,15.4253,True
2024-04-30,60_days,Campaign,Search_TM_Campaign_01,ROAS,3.963,3.37,6.42,9.46,2.457,61.9975,47.3268,True
2024-04-30,90_days,Campaign,Search_TM_Campaign_01,Revenue,63410.9988,42285.3,74145.46,106005.62,10734.4612,16.9284,15.6074,True
2024-04-30,90_days,Campaign,Search_TM_Campaign_01,ROAS,3.8371,3.66,6.41,9.17,2.5729,67.0516,50.2162,True
2024-04-30,30_days,Campaign,Pmax_Campaign_06,Revenue,6294.719,7488.91,12882.74,18276.58,6588.021,104.6595,68.7059,False
2024-04-30,30_days,Campaign,Pmax_Campaign_06,ROAS,3.463,2.23,3.84,5.44,0.377,10.8881,10.326,True
2024-04-30,60_days,Campaign,Pmax_Campaign_06,Revenue,6294.719,16685.64,25756.95,34828.26,19462.231,309.1835,121.4429,False
2024-04-30,60_days,Campaign,Pmax_Campaign_06,ROAS,3.4554,2.48,3.84,5.19,0.3846,11.1294,10.5428,True
