origin_date,forecast_period,metric,actual,predicted,absolute_error,ape
2024-04-30,30_days,Revenue,100120.8994,126315.8454,26194.946,26.1633
2024-04-30,30_days,ROAS,3.1101,4.4245,1.3144,42.2635
2024-04-30,60_days,Revenue,200877.5972,252631.6907,51754.0936,25.764
2024-04-30,60_days,ROAS,3.5807,4.4245,0.8438,23.5653
2024-04-30,90_days,Revenue,331830.2105,378947.5361,47117.3256,14.1992
2024-04-30,90_days,ROAS,3.4186,4.4245,1.0059,29.4242
2024-06-30,30_days,Revenue,132378.2743,104585.6019,27792.6723,20.9949
2024-06-30,30_days,ROAS,3.2268,4.2151,0.9883,30.628
2024-06-30,60_days,Revenue,270375.8605,209171.2038,61204.6566,22.6369
2024-06-30,60_days,ROAS,3.6267,4.2151,0.5884,16.2233
2024-06-30,90_days,Revenue,458617.7958,313756.8058,144860.99,31.5864
2024-06-30,90_days,ROAS,3.8403,4.2151,0.3748,9.7599
2024-08-31,30_days,Revenue,182971.3157,144434.6862,38536.6295,21.0616
2024-08-31,30_days,ROAS,4.2925,4.1027,0.1898,4.4209
2024-08-31,60_days,Revenue,472345.6388,288869.3723,183476.2664,38.8436
2024-08-31,60_days,ROAS,4.3846,4.1027,0.2819,6.4288
2024-08-31,90_days,Revenue,1628085.4909,433304.0585,1194781.4324,73.3857
2024-08-31,90_days,ROAS,4.1593,4.1027,0.0567,1.3621
2024-10-31,30_days,Revenue,1312462.252,291846.2907,1020615.9612,77.7635
2024-10-31,30_days,ROAS,4.0752,4.4461,0.3709,9.1006
2024-10-31,60_days,Revenue,2786070.4173,583692.5815,2202377.8359,79.0496
2024-10-31,60_days,ROAS,4.7202,4.4461,0.2741,5.8072
2024-10-31,90_days,Revenue,3044378.1104,875538.8722,2168839.2382,71.2408
2024-10-31,90_days,ROAS,4.8523,4.4461,0.4062,8.3705
2025-01-01,30_days,Revenue,251273.0959,1326302.586,1075029.4902,427.8331
2025-01-01,30_days,ROAS,7.0515,5.5886,1.4628,20.7452
2025-01-01,60_days,Revenue,514319.2992,2652605.1721,2138285.8729,415.7507
2025-01-01,60_days,ROAS,7.9702,5.5886,2.3815,29.8805
2025-01-01,90_days,Revenue,791714.7109,3978907.7581,3187193.0472,402.5684
2025-01-01,90_days,ROAS,8.4307,5.5886,2.842,33.7106
2025-03-03,30_days,Revenue,293830.3727,266017.5971,27812.7756,9.4656
2025-03-03,30_days,ROAS,10.0615,9.129,0.9325,9.2678
2025-03-03,60_days,Revenue,701806.8197,532035.1942,169771.6254,24.1906
2025-03-03,60_days,ROAS,10.2151,9.129,1.0861,10.6319
2025-03-03,90_days,Revenue,1111032.4529,798052.7914,312979.6616,28.1702
2025-03-03,90_days,ROAS,10.3694,9.129,1.2403,11.9615
2025-05-04,30_days,Revenue,403075.5901,402324.7859,750.8042,0.1863
2025-05-04,30_days,ROAS,10.8937,9.8662,1.0275,9.4319
2025-05-04,60_days,Revenue,529796.6171,804649.5719,274852.9548,51.879
2025-05-04,60_days,ROAS,8.2182,9.8662,1.648,20.0537
2025-05-04,90_days,Revenue,677984.4436,1206974.3578,528989.9142,78.0239
2025-05-04,90_days,ROAS,7.1359,9.8662,2.7303,38.261
2025-07-04,30_days,Revenue,147114.1656,123684.1462,23430.0194,15.9264
2025-07-04,30_days,ROAS,4.7967,4.4964,0.3003,6.2603
2025-07-04,60_days,Revenue,294782.8053,247368.2924,47414.5129,16.0846
2025-07-04,60_days,ROAS,4.8219,4.4964,0.3256,6.7515
2025-07-04,90_days,Revenue,506612.7554,371052.4387,135560.3167,26.7582
2025-07-04,90_days,ROAS,5.2754,4.4964,0.779,14.7668
2025-09-04,30_days,Revenue,223228.9379,147862.4509,75366.4869,33.762
2025-09-04,30_days,ROAS,5.9826,4.8975,1.0852,18.1387
2025-09-04,60_days,Revenue,440710.9541,295724.9019,144986.0522,32.8982
2025-09-04,60_days,ROAS,4.7457,4.8975,0.1518,3.1988
2025-09-04,90_days,Revenue,1262954.4853,443587.3528,819367.1324,64.877
2025-09-04,90_days,ROAS,3.3313,4.8975,1.5662,47.0134
2025-11-04,30_days,Revenue,996180.9737,209277.1965,786903.7772,78.9921
2025-11-04,30_days,ROAS,3.3925,3.7174,0.3249,9.5768
2025-11-04,60_days,Revenue,2486923.7259,418554.3931,2068369.3328,83.1698
2025-11-04,60_days,ROAS,4.4953,3.7174,0.7779,17.3047
2025-11-04,90_days,Revenue,2716856.8816,627831.5896,2089025.292,76.8913
2025-11-04,90_days,ROAS,4.6254,3.7174,0.908,19.6306
2026-01-05,30_days,Revenue,205549.3287,1397338.9944,1191789.6658,579.8071
2026-01-05,30_days,ROAS,6.0437,5.8552,0.1885,3.1196
2026-01-05,60_days,Revenue,560914.674,2794677.9889,2233763.3149,398.2358
2026-01-05,60_days,ROAS,5.9131,5.8552,0.058,0.9803
2026-01-05,90_days,Revenue,920920.488,4192016.9833,3271096.4953,355.1986
2026-01-05,90_days,ROAS,6.2612,5.8552,0.406,6.4849
2026-03-08,30_days,Revenue,350133.2681,352273.8228,2140.5547,0.6114
2026-03-08,30_days,ROAS,7.2276,5.2773,1.9503,26.9839
2026-03-08,60_days,Revenue,726472.625,704547.6456,21924.9794,3.018
2026-03-08,60_days,ROAS,6.2292,5.2773,0.9519,15.2808
2026-03-08,90_days,Revenue,1069273.7927,1056821.4684,12452.3243,1.1646
2026-03-08,90_days,ROAS,5.7835,5.2773,0.5062,8.7519
